"social"|"How to make friends on campus"|"Many students find it difficult to make friends in general.  Often friendships spring up from being in the same classes throughout high school, or a shared experience such as playing a sport for a number of years with peers.  The university seems massive, but making friends is the same follows the same process.  You have to be willing to do some work and take chances.  We cannot tell you who is going to be trustworthy or who will be there for you when you are at your worst.  Finding those kinds of friends takes time and trusting others in small ways before trusting completely.  Many people find friends through common interests.  Make a list of the things you like to do: activities, hobbies, religion, favorite YouTube videos, etc.  Then when out in common areas, strike up a conversation about what you like and see if you have common interests with others."
"social"|"Connecting to the university"|"We have a vast number of clubs on campus that you can join.  Many clubs meet in the evening, but if needed, ask if you and others can have a satellite meeting during the day - joining the whole group during activities.  Research activities at the university, using lists such as on Today@CCSU.  Find activities that interest you and make an extra effort to attend.  Students hear about how great an activity was two days after the event; you want to be there.  On campus, one of the best places to make friends is in the student center.  Our student center is known as the campus living room and is always active with a variety of events. We encourage students to get involved.  A nice place to start is with a club or CAN (Central Activities Network) where you can meet people with similar interests and plan activities for the campus.  For a full list of clubs, you can visit thelink.ccsu.edu."
"social"|"Who Keeps You Well"|"Who keeps you well activity – In our lives we all have people who keep us well.  These people will react to us in a way that makes us feel better, more positive about being able to get through our troubles in life.  Take a few moments and write down who you think is the best person within your social supports to help you. Take a few moments and write down who you think is the best person within your social supports to help you. Keep this list close to you, such as a note on your smartphone, because we never know when life will throw us a curve."
"social"|"Healthy and Unhealthy Relationships"|"Healthy relationships are HOT - honest, open, and trustworthy.  In these relationships, people are honest with each other.  At any point in time if asked one person about the relationship status, the response would be the same as the other person.  Does not matter if there are 2 or more people in the relationship - everyone knows who is involved and agrees with the decisions made in the relationship.  Those in the relationship are open with each other - being able to tell each other what they like and do not like in a relationship.  Respect is a cornerstone of the communication that allows openness.  This openness builds trust in the relationship.  Trust allows each member of the relationship to be comfortable being with and away from the other(s) in the relationship.  A vast majority of students prefer to be on their own or in a relationship with one other individual.  This may be the norm but that does not work for everyone.  Being in a HOT relationship avoids a great deal of conflict and mistrust. Unhealthy relationships are those of inequality and at times abuse such as when one person is controlling or believes that others should not be given the same freedoms they expect in the relationship.  People in these relationships feel untrustworthy and often find themselves feeling miserable.  There are more bad times than good in the relationship, and this is for any relationship, sexual or otherwise."
"social"|"Relationships and Sex"|"Sexual relationships are healthy, even if only one person is in the room.  For those who want more than one person in the room, one can seek out a partner/partners.  For any sexual relationship, you want enthusiastic partners.  Some people turn to dating websites.  With any website, make sure you understand what individuals are expecting from the website.  Tinder is known for sexual relationships that are more physical than emotional.  The opposite is true of eHarmony.  But that does not mean you cannot find both on whatever site you choose.  The best way to find out about websites is to talk with friends about it and get a recommendation or do some research online.  New sites pop up frequently - read the reviews carefully to determine if that website is for you."
"physical"|"What Shape Are You?"|"Being physical during your late teens and early twenties may seem like an additional use of time you just do not have but it is time well spent.  Those who are active when younger have a tendency to stay more active during the aging process.  For the most part, people who are active will have better blood pressure, breathing patterns, and less depression and anxiety, than if they did not exercise.  Exercising is one of the best ways to cope with stress - helping to reduce depression/anxiety.  We have a list of exercises that you may or may not have considered.  Some exercising is done indoors and other is outdoors so there is always something to do not matter what the weather is like. Examples: Aerobics, Ballet, Baseball, Basketball, Biking, Boating, Bowling, Boxing, Canoeing, Dance Dance Revolution, Dancing, Double Dutch, Field Hockey,Football,Frisbee,Golf,Gymnastics,Hiking,Hockey,Hopscotch,Horseback riding, Hula hooping, Ice Skating, Jogging, Juggling, Jump rope, Laser tag, Paintball, Ping-Pong, Playing catch, Rock Climbing, Roller Blading, Roller Skating, Running, Skateboarding, Skiing, Soccer, Softball, Swimming ,Tae Kwon Do, Tennis, Trampoline, Treadmill, Unicycling, Volleyball, Walking, Weightlifting, Wii sports games"
"physical"|"Get Physical"|"Campus has a number of ways to stay physically active, such as using the brand new Recreation Center.  We now have an indoor track on campus.  Challenge yourself and try to challenge a friend to go to the gym to exercise five times a week.  Does not have to be painful; you just have to move. RECentral is driven to provide you with at least one activity on a regular basis that gets you moving.  Check out their website, and under resources you can get their list of activities.  At the university, you will find people at every skill level exercising, because they know how important it is to move the body to enhance the mind.  Tai Chi is a form of exercise everyone or almost everyone can be involved into some degree, so take a risk, and find an exercise that suits you.  We have staff members taking luncheon walks around campus – join them or create one of your own and invite friends."
"physical"|"Intermurals"|"RECentral has a number of intramural activities throughout the year.  Many students miss the sports they used to play, but do not want to follow the rigors of training at college – join an intramural team.  If you like pickup games, this may be the place for you.  You can join a team and play throughout the 6 or 7 weeks.  You do not have to be the best, but you do have to be willing to put forth the effort to look into joining a team.  RECentral has the info and you have the desire.  "
"physical"|"Nutrition level up"|"At this point in your life you may be able to eat anything and not gain an ounce.  Oh, to be young, but aging does occur and your metabolism changes.  Try something different.  Try to level up on the nutrition scale - moving from one level to the next such as swapping out fried French fries and swapping in a fresh baked potato.  It is not quite the same, but it is close.  The more swapping up you do when you are younger, the more likely you will make healthy choices later in life.  There are some people in their sixties chasing the fast food franchises, while health continues to deteriorate.  Others in their seventies are still surfing the waves in Hawaii.  Now, there are many choices, but during the aging process, you begin to lose choices.  Think of the small changes you might be able to make habits this year.  Of course, you can have comfort foods on occasion and maintain a healthy weight."
"physical"|"Motivation to Move"|"Have you ever had the experience of needing to get out of bed, but your legs would not move?  You lay there telling yourself all the reasons to get up and then your inner voice starts shouting, Get up get up! and you get yourself out of that comfortable bed.  Go through a similar process to get yourself moving or find a dozen different ways to move that you had not thought about before, such as tai chi, fencing, swimming, dancing, hula hoop.  How you move is less important than moving.  Many people return to the activities in the physical section on exercise."
